Date	Frequency	Hashtags
2009-10-07	19	#WhiteOutWednesday
2009-10-14	14	#WhiteOutWednesday
2009-10-19	1	#WhiteOutWednesday
2009-10-20	3	#WhiteOutWednesday
2009-10-21	7	#WhiteOutWednesday
2009-10-28	12	#WhiteOutWednesday
2009-10-29	1	#WhiteOutWednesday
2010-03-24	5	#WhiteOutWednesday
2010-03-31	1	#WhiteOutWednesday
2010-04-14	4	#WhiteOutWednesday
2010-11-17	1	#WhiteOutWednesday
2010-12-01	2	#WhiteOutWednesday
2011-01-19	1	#WhiteOutWednesday
2011-02-01	1	#WhiteOutWednesday
2011-02-02	1	#WhiteOutWednesday
2011-02-03	1	#WhiteOutWednesday
2011-03-08	1	#WhiteOutWednesday
2011-07-20	2	#WhiteOutWednesday
2011-08-24	1	#WhiteOutWednesday
2011-09-01	1	#WhiteOutWednesday
2011-09-07	1	#WhiteOutWednesday
2011-09-28	1	#WhiteOutWednesday
2011-10-05	1	#WhiteOutWednesday
2011-11-09	2	#WhiteOutWednesday
2011-11-29	1	#WhiteOutWednesday
2011-12-13	1	#WhiteOutWednesday
2011-12-14	4	#WhiteOutWednesday
2011-12-20	3	#WhiteOutWednesday
2011-12-21	6	#WhiteOutWednesday
2011-12-22	1	#WhiteOutWednesday
2012-01-25	1	#WhiteOutWednesday
2012-01-31	2	#WhiteOutWednesday
2012-02-01	5	#WhiteOutWednesday
2012-02-08	2	#WhiteOutWednesday
2012-02-14	1	#WhiteOutWednesday
2012-02-15	3	#WhiteOutWednesday
2012-02-20	4	#WhiteOutWednesday
2012-02-21	8	#WhiteOutWednesday
2012-02-22	16	#WhiteOutWednesday
2012-02-23	1	#WhiteOutWednesday
2012-02-27	1	#WhiteOutWednesday
2012-02-28	4	#WhiteOutWednesday
2012-02-29	68	#WhiteOutWednesday
2012-03-07	2	#WhiteOutWednesday
2012-03-08	1	#WhiteOutWednesday
2012-03-12	2	#WhiteOutWednesday
2012-03-13	1	#WhiteOutWednesday
2012-03-14	8	#WhiteOutWednesday
2012-03-21	1	#WhiteOutWednesday
2012-03-28	4	#WhiteOutWednesday
2012-04-04	2	#WhiteOutWednesday
2012-04-11	3	#WhiteOutWednesday
2012-04-17	1	#WhiteOutWednesday
2012-04-25	2	#WhiteOutWednesday
2012-05-02	3	#WhiteOutWednesday
2012-05-08	1	#WhiteOutWednesday
2012-05-09	2	#WhiteOutWednesday
2012-05-20	2	#WhiteOutWednesday
2012-05-22	4	#WhiteOutWednesday
2012-05-23	3	#WhiteOutWednesday
2012-06-07	1	#WhiteOutWednesday
2012-06-13	1	#WhiteOutWednesday
2012-06-20	1	#WhiteOutWednesday
2012-06-27	2	#WhiteOutWednesday
2012-07-05	2	#WhiteOutWednesday
2012-07-18	7	#WhiteOutWednesday
2012-07-24	1	#WhiteOutWednesday
2012-07-25	2	#WhiteOutWednesday
2012-08-08	1	#WhiteOutWednesday
2012-08-14	2	#WhiteOutWednesday
2012-08-15	3	#WhiteOutWednesday
2012-08-21	1	#WhiteOutWednesday
2012-08-22	4	#WhiteOutWednesday
2012-08-29	2	#WhiteOutWednesday
2012-09-04	2	#WhiteOutWednesday
2012-09-05	4	#WhiteOutWednesday
2012-09-11	1	#WhiteOutWednesday
2012-09-18	1	#WhiteOutWednesday
2012-09-19	6	#WhiteOutWednesday
2012-09-26	1	#WhiteOutWednesday
2012-10-16	1	#WhiteOutWednesday
2012-10-17	3	#WhiteOutWednesday
2012-10-22	2	#WhiteOutWednesday
2012-10-23	5	#WhiteOutWednesday
2012-10-24	12	#WhiteOutWednesday
2012-10-25	1	#WhiteOutWednesday
2012-10-30	1	#WhiteOutWednesday
2012-11-07	2	#WhiteOutWednesday
2012-11-18	16	#WhiteOutWednesday
2012-11-20	14	#WhiteOutWednesday
2012-11-21	14	#WhiteOutWednesday
2012-11-28	2	#WhiteOutWednesday
2012-12-04	3	#WhiteOutWednesday
2012-12-05	6	#WhiteOutWednesday
2012-12-07	1	#WhiteOutWednesday
2012-12-08	1	#WhiteOutWednesday
2012-12-11	6	#WhiteOutWednesday
2012-12-12	13	#WhiteOutWednesday
2012-12-17	8	#WhiteOutWednesday
2012-12-18	1	#WhiteOutWednesday
2012-12-19	10	#WhiteOutWednesday
2013-01-03	1	#WhiteOutWednesday
