Link,Amy Barrett,Jesse Barrett,Michael Coney,Linda Coney
http://web.archive.org/web/20080509073046id_/http://www.peopleofpraise.org/thevine/issues/2007-12-vine-and-branches.pdf,,,,
http://web.archive.org/web/20170305001634id_/http://peopleofpraise.org/media/pdf/V%26B%20summer%202016%20web%20copy.pdf,,,,
http://web.archive.org/web/20180701175137id_/https://peopleofpraise.org/media/pdf/V%26B%20Spring%202017%20web.pdf,,,,
http://web.archive.org/web/20151018021426id_/http://peopleofpraise.org/media/thevine/2008-01-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20180701175137id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Winter%202018%20web%20copy.pdf,,,,
http://web.archive.org/web/20080509093036id_/http://www.peopleofpraise.org/thevine/issues/2008-01-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018074304id_/http://peopleofpraise.org/media/thevine/2006-09-10-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018020407id_/http://peopleofpraise.org/media/thevine/2009-03-04-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018082040id_/http://peopleofpraise.org/media/thevine/2006-11-vine-and-branches.pdf,,,,
http://web.archive.org/web/20071028070117id_/http://www.peopleofpraise.org/thevine/issues/2007-08-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20071028070245id_/http://www.peopleofpraise.org/thevine/issues/2006-09-10-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20200920040320id_/https://peopleofpraise.org/media/pdf/V%26B%20Summer%202018%20web.pdf,,,,
http://web.archive.org/web/20151018081943id_/http://peopleofpraise.org/media/main/vb/45/V%26B%20Winter%202015%20w%20palmer.pdf,,,,
http://web.archive.org/web/20071028065513id_/http://www.peopleofpraise.org/thevine/issues/2006-12-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20180701175247id_/https://peopleofpraise.org/media/pdf/V%26B%20Fall%202017%20web.pdf,,,,
http://web.archive.org/web/20120905045925id_/http://www.peopleofpraise.org/thevine/issues/2008-08-vine-and-branches.pdf,,,,
http://web.archive.org/web/20200920040324id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Summer%202018%20web.pdf,,,,
http://web.archive.org/web/20071028065558id_/http://www.peopleofpraise.org/thevine/issues/2006-05-vine-and-branches.pdf,1,,,
http://web.archive.org/web/20110419101954id_/http://www.peopleofpraise.org:80/thevine/issues/2009-02-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20080515170451id_/http://www.peopleofpraise.org/thevine/issues/2008-03-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018074358id_/http://peopleofpraise.org/media/thevine/2006-05-vine-and-branches.pdf,1,,,
http://web.archive.org/web/20151018072759id_/http://peopleofpraise.org/media/thevine/2007-11-vine-and-branches.pdf,,,,
http://web.archive.org/web/20170304180212id_/http://peopleofpraise.org/media/pdf/V%26B%20fall%202016%20web.pdf,,,,
http://web.archive.org/web/20180701175224id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Fall%202017%20web.pdf,,,,
http://web.archive.org/web/20071028065447id_/http://www.peopleofpraise.org/thevine/issues/2007-07-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018072952id_/http://peopleofpraise.org/media/thevine/2007-01-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018073014id_/http://peopleofpraise.org/media/thevine/2008-04-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20200920040304id_/https://peopleofpraise.org/media/pdf/V%26B%20Fall%202019%20web_Bt1FvYQ.pdf,,,,
http://web.archive.org/web/20200920040340id_/https://peopleofpraise.org/media/main/vb/add/V%26B%20Spring%202016%20web.pdf,,,,
