<http://antifa.com>; rel="original",
<https://memgator.cs.odu.edu/timemap/link/http://antifa.com>; rel="self"; type="application/link-format",
<http://web.archive.bibalex.org:80/web/19990125093238/http://www.antifa.com/>; rel="first memento"; datetime="Mon, 25 Jan 1999 09:32:38 GMT",
<https://web.archive.org/web/19990125093238/http://www.antifa.com:80/>; rel="memento"; datetime="Mon, 25 Jan 1999 09:32:38 GMT",
<http://web.archive.bibalex.org:80/web/19990208011355/http://www.antifa.com/>; rel="memento"; datetime="Mon, 08 Feb 1999 01:13:55 GMT",
<https://web.archive.org/web/19990208011355/http://www.antifa.com:80/>; rel="memento"; datetime="Mon, 08 Feb 1999 01:13:55 GMT",
<http://web.archive.bibalex.org:80/web/19990219111203/http://www.antifa.com/>; rel="memento"; datetime="Fri, 19 Feb 1999 11:12:03 GMT",
<https://web.archive.org/web/19990219111203/http://www.antifa.com:80/>; rel="memento"; datetime="Fri, 19 Feb 1999 11:12:03 GMT",
<https://web.archive.org/web/19990427232550/http://www.antifa.com:80/>; rel="memento"; datetime="Tue, 27 Apr 1999 23:25:50 GMT",
<http://web.archive.bibalex.org:80/web/19990428000803/http://www.antifa.com/>; rel="memento"; datetime="Wed, 28 Apr 1999 00:08:03 GMT",
<https://web.archive.org/web/19990428000803/http://www.antifa.com:80/>; rel="memento"; datetime="Wed, 28 Apr 1999 00:08:03 GMT",
<http://web.archive.bibalex.org:80/web/20001109100900/http://www.antifa.com/>; rel="memento"; datetime="Thu, 09 Nov 2000 10:09:00 GMT",
<https://web.archive.org/web/20001109100900/http://www.antifa.com:80/>; rel="memento"; datetime="Thu, 09 Nov 2000 10:09:00 GMT",
<http://web.archive.bibalex.org:80/web/20001204082600/http://www.antifa.com/>; rel="memento"; datetime="Mon, 04 Dec 2000 08:26:00 GMT",
<https://web.archive.org/web/20001204082600/http://www.antifa.com:80/>; rel="memento"; datetime="Mon, 04 Dec 2000 08:26:00 GMT",
<http://web.archive.bibalex.org:80/web/20010208165902/http://antifa.com/>; rel="memento"; datetime="Thu, 08 Feb 2001 16:59:02 GMT",
<https://web.archive.org/web/20010208165902/http://antifa.com:80/>; rel="memento"; datetime="Thu, 08 Feb 2001 16:59:02 GMT",
<http://web.archive.bibalex.org:80/web/20010302014209/http://www.antifa.com/>; rel="memento"; datetime="Fri, 02 Mar 2001 01:42:09 GMT",
<https://web.archive.org/web/20010302014209/http://www.antifa.com:80/>; rel="memento"; datetime="Fri, 02 Mar 2001 01:42:09 GMT",
<http://web.archive.bibalex.org:80/web/20010401010748/http://www.antifa.com/>; rel="memento"; datetime="Sun, 01 Apr 2001 01:07:48 GMT",
<https://web.archive.org/web/20010401010748/http://www.antifa.com:80/>; rel="memento"; datetime="Sun, 01 Apr 2001 01:07:48 GMT",
<http://web.archive.bibalex.org:80/web/20010401101513/http://antifa.com/>; rel="memento"; datetime="Sun, 01 Apr 2001 10:15:13 GMT",
<https://web.archive.org/web/20010401101513/http://antifa.com:80/>; rel="memento"; datetime="Sun, 01 Apr 2001 10:15:13 GMT",
<http://web.archive.bibalex.org:80/web/20010517041352/http://www.antifa.com/>; rel="memento"; datetime="Thu, 17 May 2001 04:13:52 GMT",
<https://web.archive.org/web/20010517041352/http://www.antifa.com:80/>; rel="memento"; datetime="Thu, 17 May 2001 04:13:52 GMT",
<https://web.archive.org/web/20081121073324/http://www.antifa.com/>; rel="memento"; datetime="Fri, 21 Nov 2008 07:33:24 GMT",
<https://web.archive.org/web/20130402024847/http://antifa.com>; rel="memento"; datetime="Tue, 02 Apr 2013 02:48:47 GMT",
<https://web.archive.org/web/20130423041603/http://antifa.com>; rel="memento"; datetime="Tue, 23 Apr 2013 04:16:03 GMT",
<https://web.archive.org/web/20130425105054/http://antifa.com>; rel="memento"; datetime="Thu, 25 Apr 2013 10:50:54 GMT",
<https://web.archive.org/web/20130430080229/http://antifa.com>; rel="memento"; datetime="Tue, 30 Apr 2013 08:02:29 GMT",
<https://web.archive.org/web/20130508045121/http://antifa.com/>; rel="memento"; datetime="Wed, 08 May 2013 04:51:21 GMT",
<https://web.archive.org/web/20130508065908/http://antifa.com>; rel="memento"; datetime="Wed, 08 May 2013 06:59:08 GMT",
<https://web.archive.org/web/20130627005717/http://antifa.com>; rel="memento"; datetime="Thu, 27 Jun 2013 00:57:17 GMT",
<https://web.archive.org/web/20130710194248/http://antifa.com>; rel="memento"; datetime="Wed, 10 Jul 2013 19:42:48 GMT",
<https://web.archive.org/web/20130720163148/http://antifa.com>; rel="memento"; datetime="Sat, 20 Jul 2013 16:31:48 GMT",
