id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1314101618640588800,1314101618640588800,2020-10-08 03:13:35 EDT,2020-10-08,03:13:35,-0400,3034341596,infolekiosk,AAA,,"Auc1 réseau antifasciste ne recruterait en ligne de cette manière.
Ne suivez pas @AntifaWebsite
C'est 1 récolte de données pr les doxxers. Auc1 doute.
Antifa n'est pas une orga mais un modèle.
Il n'a pas d'adhésion, vous ne pouvez pas «vous inscrire aujourd'hui».

Éviter.",fr,['antifawebsite'],[],[],0,0,0,[],[],https://twitter.com/INFOLEKIOSK/status/1314101618640588800,,https://twitter.com/AnarchistFed/status/1292424441838870529,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1304271922453270529,1304266907009388544,2020-09-11 00:13:53 EDT,2020-09-11,00:13:53,-0400,89085489,slickrockweb,Eric JN Ellason,,This may be completely coincidental but I believe Siteground is a Bulgarian company and its interesting that Google for whatever reason archived a copy of the @antifawebsite twitter page with the Bulgarian lang tag https://t.co/MqsJOpIoBg,en,['antifawebsite'],[],"['https://pbs.twimg.com/media/Ehm0Q95WAAcwsg3.jpg', 'https://pbs.twimg.com/media/Ehm0W9zXgAAsxGY.jpg']",1,3,7,[],[],https://twitter.com/SlickRockWeb/status/1304271922453270529,,,1,https://pbs.twimg.com/media/Ehm0Q95WAAcwsg3.jpg,,,,,,,"{'user_id': '89085489', 'username': 'SlickRockWeb'}",,,,
1304271039963295745,1304266907009388544,2020-09-11 00:10:22 EDT,2020-09-11,00:10:22,-0400,89085489,slickrockweb,Eric JN Ellason,,"The Twitter account they used @antifawebsite was  suspended in August by Twitter. Not sure why or for what reason. This original bio description talking about ""financial opportunities"" is quite interesting and reminiscent of recent Russian operations uncovered by @Graphika_NYC https://t.co/tWZ7KuedIw",en,"['antifawebsite', 'graphika_nyc']",[],['https://pbs.twimg.com/media/EhmzMVcXcAI2q9f.jpg'],1,1,8,[],[],https://twitter.com/SlickRockWeb/status/1304271039963295745,,,1,https://pbs.twimg.com/media/EhmzMVcXcAI2q9f.jpg,,,,,,,"{'user_id': '89085489', 'username': 'SlickRockWeb'}",,,,
1303381392492040193,1302693161635057665,2020-09-08 13:15:14 EDT,2020-09-08,13:15:14,-0400,1105954969767870464,hpumperton,John,,"@DrNikkiMartinez @File411 @SlickRockWeb @JoeBiden @ushadrons @ChiefCovfefe @IdeaGov @AntifaWebsite @TwitterSafety https://t.co/nTLswTW3Sd 
Hitching a new thread to the end of this one",en,"['drnikkimartinez', 'file411', 'slickrockweb', 'joebiden', 'ushadrons', 'chiefcovfefe', 'ideagov', 'antifawebsite', 'twittersafety']",['https://twitter.com/IdeaGov/status/1302736335006908417?s=19'],[],0,1,2,[],[],https://twitter.com/HPumperton/status/1303381392492040193,,https://twitter.com/IdeaGov/status/1302736335006908417?s=19,0,,,,,,,,"{'user_id': '130134063', 'username': 'DrNikkiMartinez'}",,,,
1302787969225424897,1302693161635057665,2020-09-06 21:57:11 EDT,2020-09-06,21:57:11,-0400,16148602,ideagov,Alan W. Silberberg 🇺🇸,,"@File411 @SlickRockWeb @JoeBiden @ushadrons @ChiefCovfefe @AntifaWebsite @TwitterSafety This https://t.co/mbFRXgqlij taken down, wanted live event/civic unrest - same exact type of lang used in Ferguson + 2016 election attempts to draw live people to ""events"" mirror Rus active measures documented by Mueller + Senate.  Google search: ""site:https://t.co/RxQus7DkAu""",en,"['file411', 'slickrockweb', 'joebiden', 'ushadrons', 'chiefcovfefe', 'antifawebsite', 'twittersafety']","['http://antifa.com/08-18-2020-wis', 'http://antifa.com']",[],0,2,5,[],[],https://twitter.com/IdeaGov/status/1302787969225424897,,,0,,,,,,,,"{'user_id': '1140379748268466176', 'username': 'File411'}",,,,
1302769885097988096,1302693161635057665,2020-09-06 20:45:19 EDT,2020-09-06,20:45:19,-0400,130134063,drnikkimartinez,Nikki Martinez,,"@File411 @SlickRockWeb @JoeBiden @ushadrons @ChiefCovfefe @IdeaGov @AntifaWebsite @TwitterSafety Tell me if I have amnesia, but I seem to remember this malarkey going on trying to pull a stunt and look what we have here.....smdh.",en,"['file411', 'slickrockweb', 'joebiden', 'ushadrons', 'chiefcovfefe', 'ideagov', 'antifawebsite', 'twittersafety']",[],[],1,1,6,[],[],https://twitter.com/DrNikkiMartinez/status/1302769885097988096,,,0,,,,,,,,"{'user_id': '1140379748268466176', 'username': 'File411'}",,,,
1302767849862303745,1302693161635057665,2020-09-06 20:37:14 EDT,2020-09-06,20:37:14,-0400,1140379748268466176,file411,File411,,"@SlickRockWeb @JoeBiden @ushadrons @ChiefCovfefe @IdeaGov @AntifaWebsite @TwitterSafety Imma gonna leave this right here too - notice the date of the tweet?
It would suggest that would fall within the ever shrinking window of the re-direct to Biden’s campaign Website. No?
https://t.co/6SxA2oXQjt",en,"['slickrockweb', 'joebiden', 'ushadrons', 'chiefcovfefe', 'ideagov', 'antifawebsite', 'twittersafety']",['https://archive.is/EnhTq'],[],2,2,9,[],[],https://twitter.com/File411/status/1302767849862303745,,,0,,,,,,,,"{'user_id': '89085489', 'username': 'SlickRockWeb'}",,,,
1302764205519536130,1302764205519536130,2020-09-06 20:22:45 EDT,2020-09-06,20:22:45,-0400,1266827417324314624,sliberalslayer,Sam The LiberalSlayer,,@ANTIFAWEBSITE @FUCKANTIFA https://t.co/LjwtpHKTfC,und,"['antifawebsite', 'fuckantifa']",[],['https://pbs.twimg.com/media/EhRY_m2XkAAiCEE.jpg'],0,0,0,[],[],https://twitter.com/SLiberalslayer/status/1302764205519536130,,,1,https://pbs.twimg.com/media/EhRY_m2XkAAiCEE.jpg,,,,,,,"{'user_id': '1249935052315779073', 'username': 'AntifaWebsite'}",,,,
1302726933600403456,1302693161635057665,2020-09-06 17:54:39 EDT,2020-09-06,17:54:39,-0400,89085489,slickrockweb,Eric JN Ellason,,@File411 @JoeBiden @ushadrons @ChiefCovfefe @IdeaGov Also interesting is that in the code of the previously live Antifa(.)com that @ushadrons found there is a reference to this now SUSPENDED twitter account @antifawebsite  ... we all know how bad of an account you have to be to actually get suspended by @TwitterSafety https://t.co/o9hg0jMDxi,en,"['file411', 'joebiden', 'ushadrons', 'chiefcovfefe', 'ideagov', 'ushadrons', 'antifawebsite', 'twittersafety']",[],['https://pbs.twimg.com/media/EhQ29lcXcAYVDcC.png'],1,2,8,[],[],https://twitter.com/SlickRockWeb/status/1302726933600403456,,,1,https://pbs.twimg.com/media/EhQ29lcXcAYVDcC.png,,,,,,,"{'user_id': '1140379748268466176', 'username': 'File411'}",,,,
1301635780629204992,1293686275824848896,2020-09-03 17:38:47 EDT,2020-09-03,17:38:47,-0400,784921752,havapup,PuppyLover,,"@JackPosobiec @AntifaWebsite Some people think there ""was"" not a website. Definitely was - it has been ""around"" since Nov 21, 2008. Now it belongs to Harris &amp; Biden. Hmmm... https://t.co/T7m9mpwc9e",en,"['jackposobiec', 'antifawebsite']",[],['https://pbs.twimg.com/media/EhBW1tZX0AIgzEX.png'],0,0,0,[],[],https://twitter.com/HAVAPUP/status/1301635780629204992,,,1,https://pbs.twimg.com/media/EhBW1tZX0AIgzEX.png,,,,,,,"{'user_id': '592730371', 'username': 'JackPosobiec'}",,,,
