id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1315089752928985089,1315089752928985089,2020-10-10 20:40:04 EDT,2020-10-10,20:40:04,-0400,862493306382626818,kylekashuv,Kyle Kashuv,,https://t.co/NNUCqhN8BZ,und,[],['http://Antifa.com'],[],35,111,346,[],[],https://twitter.com/KyleKashuv/status/1315089752928985089,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1314954586411593728,1314947471546757121,2020-10-10 11:42:58 EDT,2020-10-10,11:42:58,-0400,23639272,ericjracy,Eric Racy,,@Prebman2020 @Sepher_Raziel @HillaryClinton Appears to have been registered in Panama. https://t.co/rb2o7WQCaP,en,"['prebman2020', 'sepher_raziel', 'hillaryclinton']",['https://www.whois.com/whois/antifa.com'],[],0,0,1,[],[],https://twitter.com/EricJRacy/status/1314954586411593728,,,0,,,,,,,,"{'user_id': '390946036', 'username': 'Prebman2020'}",,,,
1314948365956853760,1314948365956853760,2020-10-10 11:18:15 EDT,2020-10-10,11:18:15,-0400,19989052,rhowardbrowne,Rodney Howard-Browne,,Or on https://t.co/InpJSXVqly one and the same !,en,[],['http://Antifa.com'],[],2,12,29,[],[],https://twitter.com/rhowardbrowne/status/1314948365956853760,,https://twitter.com/hillaryclinton/status/1314947471546757121,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1313612912695664640,1313596277863731205,2020-10-06 18:51:38 EDT,2020-10-06,18:51:38,-0400,24295482,davidwebbshow,David Webb,,"@CamEdwards Lesson: Hey @TheDemocrats, if you defend your home with your #2ndAmendment rights against rioters who threaten you, their left-wing prosecutors will go after you. This is what the @JoeBiden, @KamalaHarris America will be like. https://t.co/y5CIa6SnlK",en,"['camedwards', 'thedemocrats', 'joebiden', 'kamalaharris']",['http://www.Antifa.com'],[],10,64,106,['2ndamendment'],[],https://twitter.com/davidwebbshow/status/1313612912695664640,,,0,,,,,,,,"{'user_id': '18004009', 'username': 'CamEdwards'}",,,,
1313261219936169984,1313261219936169984,2020-10-05 19:34:08 EDT,2020-10-05,19:34:08,-0400,113758288,travisaaronwade,Travis Aaron Wade,"{'type': 'Point', 'coordinates': [40.0, -100.0]}",Look at the bottom left hand corner LIKE if you see it COMMENT if you’ve typed in the website www antifa com @ United States https://t.co/nomhMg07Qo,en,[],['https://www.instagram.com/p/CF-v60PFjNu/?igshid=1nuif98xf6rsb'],[],1,1,0,[],[],https://twitter.com/TravisAaronWade/status/1313261219936169984,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1312313327301939201,1312313327301939201,2020-10-03 04:47:33 EDT,2020-10-03,04:47:33,-0400,21572351,auctnr1,Billy Long,,"@Biden Said 'ANTIFA's an Idea, Not an Organization' Yet https://t.co/huGynCd7cU Takes You to Biden Campaign Site For a Donation - DJHJ Media #MBGA (Make Basements Great Again) #MAGA #MAGA2020 #MAGA2020Landslide #KAG #KAG2020 #KAGA #KAGA2020 #Antifa  https://t.co/RFkJsxAzuI",en,['biden'],"['http://antifa.com', 'https://djhjmedia.com/rich/joe-biden-said-antifas-an-idea-not-an-organization-yet-their-website-takes-you-to-biden-campaign-site-for-a-donation/']",[],0,0,0,"['mbga', 'maga', 'maga2020', 'maga2020landslide', 'kag', 'kag2020', 'kaga', 'kaga2020', 'antifa']",[],https://twitter.com/auctnr1/status/1312313327301939201,,,0,,,,,,,,"{'user_id': '24259259', 'username': 'biden'}",,,,
1311801210115166212,1311801210115166212,2020-10-01 18:52:35 EDT,2020-10-01,18:52:35,-0400,335100687,chriscpandolfo,Chris Pandolfo,,"You guys. 

Go to https://t.co/EPM9mmLdFc right now.",en,[],['http://Antifa.com'],[],79,136,195,[],[],https://twitter.com/ChrisCPandolfo/status/1311801210115166212,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1311680663448322048,1311679301201297408,2020-10-01 10:53:34 EDT,2020-10-01,10:53:34,-0400,34764540,austinruse,Austin Ruse / “Appointing Justices is Not Packing”,,@DarrellColema20 @chrislhayes https://t.co/TVAwbic4Kh,und,"['darrellcolema20', 'chrislhayes']",['http://antifa.com'],[],0,0,2,[],[],https://twitter.com/austinruse/status/1311680663448322048,,,0,,,,,,,,"{'user_id': '774799437847748608', 'username': 'DarrellColema20'}",,,,
1311483308329574403,1311483308329574403,2020-09-30 21:49:21 EDT,2020-09-30,21:49:21,-0400,992623688028774400,manny_alicandro,Manny Alicandro,,Type in https://t.co/u5nJSiEk4P and see what happens. You can see @JoeBiden @KamalaHarris website comes up...,en,"['joebiden', 'kamalaharris']",['http://antifa.com'],[],0,0,0,[],[],https://twitter.com/Manny_Alicandro/status/1311483308329574403,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1311470548006834176,1311470548006834176,2020-09-30 20:58:39 EDT,2020-09-30,20:58:39,-0400,467890149,billgriffithnew,Bill Griffith,,"This is actually true! I just typed ""https://t.co/CDR1BmjHc8"" into my search engine and it automatically redirected to ""https://t.co/iNMFtLcPmp"" - his official page!!!! Try it for yourself! WOW!",en,[],"['http://antifa.com', 'http://joebiden.com']",[],0,1,1,[],[],https://twitter.com/BillGriffithNew/status/1311470548006834176,,https://twitter.com/gatewaypundit/status/1311468943903789056,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
