     27 com,instagram)/p/08grctp-f_/embed
      1 com,instagram)/p/08grctp-f_/embed/captioned?v=2
      2 com,instagram)/p/08grctp-f_/embed/captioned?v=4
      2 com,instagram)/p/0a_h3dp-vi/embed
      1 com,instagram)/p/0gjdtgv-dt/embed
      1 com,instagram)/p/0jce3hp-el/embed
      1 com,instagram)/p/0t4affv-yq/embed
      1 com,instagram)/p/0vjgmwp-ts/embed?taken-by=katyperry
      1 com,instagram)/p/0wo1hlp-rv/embed
      2 com,instagram)/p/0wo1hlp-rv/embed?v=4
     24 com,instagram)/p/13a_kxv-cb/embed
      1 com,instagram)/p/13a_kxv-cb/embed?hl=af
      1 com,instagram)/p/13a_kxv-cb/embed?hl=ar
      1 com,instagram)/p/13a_kxv-cb/embed?hl=cs
      1 com,instagram)/p/13a_kxv-cb/embed?hl=da
      1 com,instagram)/p/13a_kxv-cb/embed?hl=de
      1 com,instagram)/p/13a_kxv-cb/embed?hl=el
      1 com,instagram)/p/13a_kxv-cb/embed?hl=en
      1 com,instagram)/p/13a_kxv-cb/embed?hl=es
      1 com,instagram)/p/13a_kxv-cb/embed?hl=fi
      1 com,instagram)/p/13a_kxv-cb/embed?hl=fr
      1 com,instagram)/p/13a_kxv-cb/embed?hl=id
      1 com,instagram)/p/13a_kxv-cb/embed?hl=it
      1 com,instagram)/p/13a_kxv-cb/embed?hl=ja
      1 com,instagram)/p/13a_kxv-cb/embed?hl=ko
      1 com,instagram)/p/13a_kxv-cb/embed?hl=ms
      1 com,instagram)/p/13a_kxv-cb/embed?hl=nb
      1 com,instagram)/p/13a_kxv-cb/embed?hl=nl
      1 com,instagram)/p/13a_kxv-cb/embed?hl=pl
      1 com,instagram)/p/13a_kxv-cb/embed?hl=pt
      1 com,instagram)/p/13a_kxv-cb/embed?hl=pt-br
      1 com,instagram)/p/13a_kxv-cb/embed?hl=ru
      1 com,instagram)/p/13a_kxv-cb/embed?hl=sv
      1 com,instagram)/p/13a_kxv-cb/embed?hl=th
      1 com,instagram)/p/13a_kxv-cb/embed?hl=tl
      1 com,instagram)/p/13a_kxv-cb/embed?hl=tr
      1 com,instagram)/p/13a_kxv-cb/embed?hl=zh-cn
      1 com,instagram)/p/13a_kxv-cb/embed?hl=zh-tw
      1 com,instagram)/p/13z7mhp-zn/embed
      2 com,instagram)/p/13z7mhp-zn/embed?v=4
     25 com,instagram)/p/18fjwgp-f1/embed
      1 com,instagram)/p/18fjwgp-f1/embed?hl=af
      1 com,instagram)/p/18fjwgp-f1/embed?hl=ar
      1 com,instagram)/p/18fjwgp-f1/embed?hl=cs
      1 com,instagram)/p/18fjwgp-f1/embed?hl=da
      1 com,instagram)/p/18fjwgp-f1/embed?hl=de
      1 com,instagram)/p/18fjwgp-f1/embed?hl=el
      1 com,instagram)/p/18fjwgp-f1/embed?hl=en
      1 com,instagram)/p/18fjwgp-f1/embed?hl=es
      1 com,instagram)/p/18fjwgp-f1/embed?hl=fi
      1 com,instagram)/p/18fjwgp-f1/embed?hl=fr
      1 com,instagram)/p/18fjwgp-f1/embed?hl=id
      1 com,instagram)/p/18fjwgp-f1/embed?hl=it
      1 com,instagram)/p/18fjwgp-f1/embed?hl=ja
      1 com,instagram)/p/18fjwgp-f1/embed?hl=ko
      1 com,instagram)/p/18fjwgp-f1/embed?hl=ms
      1 com,instagram)/p/18fjwgp-f1/embed?hl=nb
      1 com,instagram)/p/18fjwgp-f1/embed?hl=nl
      1 com,instagram)/p/18fjwgp-f1/embed?hl=pl
      1 com,instagram)/p/18fjwgp-f1/embed?hl=pt
      1 com,instagram)/p/18fjwgp-f1/embed?hl=pt-br
      1 com,instagram)/p/18fjwgp-f1/embed?hl=ru
