original_url,post_id,date,title,entry
http://peopleofpraise.org/missionary/?p=4104,4104,Nov. 26 2014 4:34 p.m.,Meet the Neighbors,"Meet the Neighbors. For the past month the missionaries in Allendale/Lakeside David Zimmel Joe Bulger and Kevin McShane have been systematically knocking on every door within several blocks of our new start on Yale Street. ""Though the People of Praise has been on Yale Street for more than 12 years we've discovered a great many of our neighbors we have never met"" said David. ""We also discovered that by visiting neighbors running summer camp and doing neighborhood fix-it projects that our neighbors have a deep respect for our work and really appreciate our presence."" During this latest effort the missionaries are using a wall sized map to keep track of the homes they have visited and making follow-up visits to homes where no one was available and to homes where people wanted to hear more about our work. This effort in part was initiated to gauge and to understand the degree of interest that our neighbors might have in us forming a grade school. The missionaries have found that many of our neighbors want to talk about educational opportunities for their children. ""Not surprisingly many of our neighbors have really appreciated the opportunity their children have had to attend our annual summer camp"" said David ""and so are interested in what we may be able to do year round."" ""We are not ready to make a decision about establishing a school"" he said ""this effort to meet and speak with our neighbors on the topic of education is a step in that direction."" The current efforts to meet the neighbors has also given the missionaries living in Allendale a wider window into the needs of our neighbors. ""We've had an opportunity to get to better know people and for them to get to know us and our work"" said David. David has been impressed with how passionate our neighbors are to raise the next generation for the Lord. Bless the effort Lord!"
http://peopleofpraise.org/missionary/?p=4108,4108,Dec. 1 2014 4:45 p.m.,Be Sober Minded,"Be sober minded. At all times there is great sorrow and great joy in the lives of those around us. It was Thursday and one of our neighborhood friends had been telling us for days that he wanted to cook for us. Thursday is melange day a day where we combine and eat all our leftovers. We had a ton of tasty leftovers and on top of that our friend was able to join us for dinner and decided to cook up some deep fried pork. We barely had enough room to fit all the food on the table. Our eyes minds and hearts were on the food. Surely a gift from God. We sat down and started serving the food. We laughed and joked around knowing that our day was over and all that was scheduled for the rest of the evening was food fellowship and sleep. Then Rus's phone started ringing. It was Job. Job is a quiet sober young man. Whenever we met Job he was caring for us two year old son. His son had been living with him for the past nine months. His girlfriend had left Job for another man very early on and had left the child in his care. Job first came over to tell missionaries that he and his son were getting evicted and were soon to be homeless. He told us that everything seemed to feel better after he talked to us. We went and visited him a week later. He moved into his friend’s small apartment with his son. It was obvious that Job was doing better. One clear thing was his love for his son. I saw him smile once or twice and each time it was due to something his son was doing. We said goodbye and promised him we would try to see him again sometime. (Con't below photo)  Gabe Yohe Nick Holovaty Nick Raway Chris Raway. At dinner that Thursday evening began Rus picked up the phone. His face turned serious. He walked away and talked on the phone in the corner for a while. He turned to us saying ”The cops are at Job’s house. His wife is trying to take his son. I'm gonna go over there and try to settle things down."" We all prayed together and Rus went on his way. Our conversation was much more sober for a while as we discussed the situation. Slowly however our conversation became much more jovial. We devoured the scrumptious food and began laughing once again. The food was so good that night. Compared to what we usually had the pork tasted divine. The only thing that could get my mind off the food was a full stomach. The time flew and then the back door opened. It was Rus and he looked torn up but chuckled when he saw our wonderful dinner. Rus told us ”Job’s ex-girlfriend took the child and the cops couldn't do anything about it. Job had no way to fight back legally and the mother claimed that she had been taking care of the kid all along. Job was irate"" While listening to what happened we all were hushed and some of us were holding back tears. Job's former girlfriend simply came and took the child from Job's arms. There was nothing Job could do about it. Job was powerless. When the mother drove away all Job could do was silently cry. His child and his pride had been taken away from him. Rus drove Job to a friend’s house for the night. On the way Rus and Job discussed what to do. Job could easily go take the child back from the girlfriend but that would land him in prison. There wasn't much Job could do. He was homeless and now childless and brokenhearted. Job is our neighbor. When we hear stories like Job's we want to help. When we love them we share their sorrow and when they love us they share our joy. Lord give us a heart for the hurting the lost and the brokenhearted."
http://peopleofpraise.org/missionary/?p=4503,4503,Feb. 2 2015 2:20 p.m.,Later on...,"Sometimes we don’t see what the Lord is up to until much later. On a recent Sunday morning I (Laura Brummer) was talking to a neighborhood grandmother on the phone about how many kids from her house might be able to go to church with us that morning. We got into a reflective conversation about how one grandson in particular is doing so well and has changed a lot over the last five years. I mentioned how he rarely has angry outbursts anymore and in general he is so much happier. She added that his teachers praise him for being a big help to his classmates. Praise God! Then she said ""And he hasn't had a seizure in four years!” ""What?” Is he taking seizure meds?” I asked. ""Nope!” She replied. ""Wait a minute what about that time when he was in the hospital a couple years ago nearly unresponsive due to continuous seizures?” I asked further. ""That was four years ago and he hasn't had any since!” She replied. Wow! Then I remembered that Jeanette Duddy my sister Abby Brummer (down on an action trip) and I had prayed with him for healing at the hospital. It's amazing to find out four years later that the Lord answered our prayers and healed our young brother! Glory!"
http://peopleofpraise.org/missionary/?p=4507,4507,March 7 2015 2:39 p.m.,Common Life in the Lord,"""One thing that’s been on my mind is what can we do with our neighbors that they want to do with us so that we can grow a common life together over time?” Said Nathan Barrett. Here’s a good example. A year ago a mother of four in our neighborhood died of cancer. A few weeks ago as the anniversary of her passing approached the four children asked the missionaries if there was something they could do to honor the memory of their mother. When Kevin McShane asked one of the children why he wanted to do the event on Yale Street he said ""This is the place where God lives most.” On a cloudy Sunday morning the missionaries some Christian in Mission folks some friends of the children and the four children gathered on Yale Street to honor their mother. There was punch chocolate cake and cupcakes for everyone to enjoy. Each child took a turn to share about their mom. After the honorings the group went outside each holding a balloon. One of the children led the group in a prayer and they all sang “There is Power in the Name of Jesus.” Then they released the balloons and silently watched them drift up and out of sight. ""It was a very tangible way that we are building the kingdom here in the neighborhood” said Brigette Mysliwiec. Joan Pingel added ""I was very moved by the children's reaction when they walked in and saw a group of people with refreshments ready to honor their mother. The kids were really moved by all that was done."" By the grace of God and by our presence we are building life in common in Allendale."
http://peopleofpraise.org/missionary/?p=4516,4516,March 11 2015 2:44 p.m.,We are his hands.,We are his hands. With all the snow that came down in Evansville recently we missionaries have regularly sent out teams to shovel out our neighbors who need the help. This picture shows two teams deploying together to shovel out Sharon one of our close friends in the neighborhood who uses a wheelchair ramp to access her home. Sharon was so delighted with the help she sent us a thank you card: Dear Evansville Missionaries I wanted to take a moment and thank you all so much for showing up last week to shovel my walk and ramp! That ministered to me a lot! The reason is that I could now get out -- at least to my car. Also I had prayed about an hour before and had asked God to help me with this situation and then -- here you all were! God has challenged me to really believe that He will answer not just hope he will. In this situation I had to chose to believe He would - because he loves me this much! So again I wanted to thank you for your part in increasing my faith in God's love for me. I can look back on this situation if I am tempted to doubt in the future. I am so very glad that you all are here in Evansville! What a difference you make in our neighborhood! May God continue to bless all your efforts! Love Sharon
http://peopleofpraise.org/missionary/?p=4521,4521,March 21 2015 4:20 p.m.,Missionary Music,"Our missionaries living in Evansville have launched a new website where anyone in the world can listen to songs they have written and performed: http://missionarymusic.org Mike Zusi announced the site at the Leaders' Conference for Men in South Bend last week during a talk on the role of music in community life. On the main page of the website visitors can listen to a playlist of all the songs (currently there are 21). The ""Download"" page includes downloadable PDF files with lyrics and chord sheets and downloadable tracks. A ""Watch"" page features YouTube videos that show the missionaries performing the songs. The songs include prayer meeting songs composed by the missionaries traditional hymns (""All Creatures of Our God and King"") spirituals (""Ride on King Jesus"") and performance pieces. The songs are performed in a variety of styles from bluegrass to rock to rap and they feature banjo cello guitar violin harmonica beatboxing and unaccompanied choral singing. ""This music comes out of our life in the People of Praise"" says Nick Holovaty who leads the missionaries. ""It reflects the joys that come with living and working together and our personal experiences in the mission field. I hope that many people enjoy the music that it blesses them and that our music can get out to as many people as possible."" The site is designed so that listeners can easily spread the word about the music on Facebook Twitter and Google Plus as well as by email. Mary Timler a missionary with a background as a cellist designed and built the site with help from Dan Sullivan a web developer and an underway member of the new start in Evansville. ""Music is a huge part of the life and outreach of the Missionary Company and that is in large part due to Chris Vieck a classically trained singer and choral director who led music in the South Bend branch for many years"" says Nick. Music performed by the missionaries has been a staple at community weddings and at community summer camps over the past few years. Kathleen Reinhardt said that the music the missionaries sang at her wedding to Ben Reinhardt in Shreveport in January was ""just beautiful"" and a profound reflection of the call to mission that she experiences in the community. ""People have been emailing me asking for our chord sheets and encouraging us to let our light shine"" says Mary. ""This music is a gift from the Lord and we want to share it. So download it share it play it everywhere as often as you like!"""
http://peopleofpraise.org/missionary/?p=4609,4609,April 13 2015 3:03 p.m.,Action Summer Coming Soon,This past weekend some of us went up to South Bend to attend the Action Conference. The conference reminded us that the work of Action is integral to all the Lord wants us to accomplish in the Mississippi Valley. The property work the mission work and the summer kids' camps are such an important part of moving everything forward. Planning is now underway for the upcoming Action summer so join us in praying for all the Lord has in store for us this summer.  The conference featured a track on the role of music in our culture.  The music track at the conference included the challenge of writing a song on a tight deadline! Amazingly every group managed to get something done that sounded good.
http://peopleofpraise.org/missionary/?p=4671,4671,April 27 2015 1:12 p.m.,There's Jesus,"There's Jesus. Recently a group of college-aged students from northern Virginia and South Bend were visiting. One night the missionaries taught them how to sing some of our favorite choral pieces and we sang together in our living room for nearly an hour. As we finished I (George) heard a voice say “That was beautiful!” I didn’t recognize the voice at all! I looked around to figure out where the voice had come from and just outside our window a woman was standing in the side yard listening to us sing!After introducing herself she told us that she had just moved to the neighborhood earlier that week and was going through a really rough time of trial. She had been walking down the street asking God for help when ""all the sudden I heard y'all and I thought to myself There's Jesus!"" We were able to go outside and pray with her. Thank you Lord for the gift of music.    Missionaries and guests gather around the open window."
http://peopleofpraise.org/missionary/?p=4714,4714,May 21 2015 1:03 p.m.,An Easter Feast,An Easter feast. Recently the Allendale CIM team had a discussion where we all voiced a desire to do more with our neighbors - to share our lives more and to put more time in common as neighbors. We decided on holding a neighborhood crawfish boil a Louisiana specialty. Bridgette Mysliwiec and Elizabeth Grondin and I (Laura Brummer) were able to walk around inviting lots of neighbors during the week prior which afforded us great visits with our neighbors. An hour before the event Joe Bulger and I went around inviting more people and reminding others and asking if anyone needed a ride. One woman was ready to go and hopped into the van with us. The event was great! Several members of the Shreveport branch came as well as a handful of neighbors. Some folks driving by stopped to fill up a plate. There was a lot of good fellowship around each table. One great moment was when Nathan Barrett brought his two daughters to meet Martin. The girls frequently watch a video of Martin singing a song that he wrote about Jesus. (https://www.youtube.com/watch?v=S1QKNSF-X_4) One daughter often sings it around the house. The girls got to hear a live version right there on our parking pad bringing big smiles on their faces! God really blessed our time together.
http://peopleofpraise.org/missionary/?p=4721,4721,May 27 2015 9:59 a.m.,Urban Farm Project,"The Urban Farm Project. This spring the Missionary Company in Evansville began an urban farm project on a vacant lot in their neighborhood. The purpose of the farm project was of course to grow vegetables fruit and flowers but the farm project was also aimed at being a community building project in Evansville engaging our neighbors and providing a beautiful landscape for the neighborhood. A committee of three missionaries and two underway adults in Evansville was formed to make a proposal to the remaining team in Evansville. A proposal was made and accepted to start a farm this spring. John Earhart was chosen to lead the Farm Project. Raised beds were made out of old sections of reclaimed fences. Using a very modest budget donations and their labor the People of Praise in Evansville was able to plant 22 beds and three 25 foot rows. The growing beds and rows included vegetables flowers and fruit. They also planted six fruit trees; three plum two peach and one pear. The project attracted a lot attention on the block. “People were really interested in what we were up to” said John “we’ve been able to meet new people and to renew acquaintances as people stop by to see the farm project. Everyone who stops is really encouraged by what we're doing. The farm project has also given us an opportunity to get out and work together in the beautiful spring weather in Evansville."" As the pictures indicate it’s an ambitious project. John and the Missionary Company have organized a schedule to maintain the farm as the summer progresses. We’ll keep you updated as the growing season unfolds."
