memento_time,original_url,date,title,entry
20100917113107,http://peopleofpraise.org:80/news/?p=687,"August 2nd, 2010  |  
						
						Published in
						Branches,  Trinity School  |  8 Comments",Permanent Link: Paul DeCelles—The Trinity School Vision,"At the Trinity School at Greenlawn commencement in June, Kevin Ranaghan and Kerry Koller honored Paul DeCelles for his 30 years of service as chair of the board of trustees of Trinity Schools.

Kerry Koller: The Trinity School Vision

“Trinity School owes its essence and its very existence to Paul DeCelles—he gave us as a school a love for humanity, for human desires and for the human project.”

Kevin Ranaghan: Paul DeCelles and 30 years of Trinity School

“If Paul DeCelles is to be thought of nautically in relation to Trinity, I have to say, without fear of exaggeration, that he has been Trinity’s architect and builder. He has been Trinity’s captain and navigator and at times its helmsman. He has fulfilled all these functions for more than 30 years. The result is that Trinity floats, sails, survives the tempests, and comes safely to port year after year.”
You can view videos from the commencement and more Trinity School videos at the Trinity School News web site."
20100917135434,http://peopleofpraise.org:80/news/?p=1035,"September 9th, 2010  |  
						
						Published in
						Branches  |  1 Comment",Permanent Link: Kingston Campout for Men and Boys,"Ten men and 16 boys pitched tents near the Laughing Waters River in Jamaica’s Cranbrook botanical gardens for a few days of camping and relaxing in early May. The group carved drinking cups from bamboo and made their own kites, though only Locksley Robinson’s managed to stay aloft. (Photo credit: Kevin Rodriguez.)

Brik and Alex etch a design into a bamboo cup.
Jason and Joseph build a kite.
Matthew enjoys a laugh during morning prayer.
From left: Frank Grant, Glen Gill and Locksley Robinson.
Kevin Rodriguez helps Alex saw through a bamboo shoot in an effort to make a drinking cup.
Jason (left) and Alex customize their bamboo cups.
Campers compete to see who can hold their breath the longest. Kevin Rodriguez holds the record, 1 minute and 45 seconds, set in 2009.
Coconut trees surround a fishing pond near the campsite.
Listening to morning prayers.
Joseph Mutidjo works on his kite.
From left: David Pearson, Christopher, and Locksley Robinson prepare kites for flight.
Joseph modifies his bamboo cup.
Ten tents near Laughing Waters.
Kevin Rodriguez, Joseph and Kevin prepare breakfast for the campers.
A male peacock.
Campers enjoy the swings."
20100917135441,http://peopleofpraise.org:80/news/?p=1083,"September 9th, 2010  |  
						
						Published in
						Mission Work  |  6 Comments",Permanent Link: For Former Missionaries It’s Back to College,"By Sean Connolly and Chris Meehan

Annie Bulger and Liz Loughran
This fall four former missionaries are returning to college after completing two years of missionary work. For John Bowar, Annie Bulger, Liz Loughran and Claire Mysliwiec, the move from the mission field to the campus quad brings changes large and small: spending long hours on homework that used to be devoted to evangelism, hauling heavy textbooks instead of only a pocket Bible and traveling solo to classes rather than always moving with a small missionary team. So how is the transition going?
“Missionaries go back to school with a more mature vision for their own education,” notes Nick Holovaty, who has observed the transition closely as the program coordinator responsible for the community’s campus divisions. “They’re two years older, and they’ve had two years of experiences outside the classroom, talking with people from every walk of life.”
After wrapping up his missionary work last May, John Bowar traveled first to Minnesota for a summer geology research internship and then to Alaska for two weeks of fieldwork. Camping with researchers in Katmai National Park, John collected 100-year-old samples of volcanic ash, samples that may reveal historical information about the intensity of the earth’s magnetic field.
John Bowar
Like missionary work (knocking on doors), geology work (knocking on rocks) is not always glamorous. “My first assignment was breaking small rocks into smaller rocks,” John says. “That was fine because I had decided to throw myself into my studies with the same intensity I’d had for missionary life.” Now returned from Alaska, John has a bigger course load than ever before (including classes for his geology major), and he’s a member of a busy household of five in Servant Branch’s campus division.
Claire, a junior history major at the University of Notre Dame, says her stint with the missionaries has helped her stay both more focused and more relaxed about her studies. “I’m a lot less concerned about grades than I was before. The reason I am in school is bigger than grades—learning what I can, so that I can serve the Lord.”
For Claire, Annie and Liz, at least one important aspect of their lives in Evansville remains the same. After joining the Sisterhood during their missionary stint and living together in household for two years, all three are household members once again—this time in one of the households of the Sisterhood in the South Bend branch. (The Sisterhood is a group of women in the People of Praise who are single for the Lord and financially in-common, and who live together in several households.)
“The simplicity of household life in the Sisterhood has helped me make a fairly smooth transition back to school,” Claire says. As an added blessing, Claire spent her summer working as an intern in a financial-planning office alongside fellow Sisterhood member Christin Rose.
In addition to taking classes in math and biology at Notre Dame, Annie and Liz are continuing the part-time jobs they held as missionaries. Both are web site developers for one:ten communications, a division of the LaSalle Company that builds web sites for educational publishers.
After two years of talking almost daily with strangers, the returned students report walking around their campuses with a new awareness—that every person they meet is someone the Lord loves.  “I see myself differently,” Claire says. “I have an understanding that the Lord is sending me to people, and that’s on my mind as I interact with students and professors.”
But the returning students are clear about their primary purpose on campus. “The Lord is calling me to be a student,” as Liz puts it. Armed with that call, and carrying with them missionary instincts that may never be erased, the four are working hard to discover how to serve the Lord in their new circumstances.
Editor’s note: Four community members have recently joined the group of missionaries living in Evansville, replacing the four who have returned to college. The new missionaries are Peter Coleman, Mary Grams, Gianna Priolo and Jeanette Zimmel."
20100917135456,http://peopleofpraise.org:80/news/?p=713,"July 29th, 2010  |  
						
						Published in
						Branches,  Tributes",Permanent Link: Announcing “Tributes” Section,"The People of Praise News web site now features a “Tributes” section, which will honor community members who have died. These tribute articles and photos have been a regular feature of Vine & Branches for many years. In the future, the complete tribute articles will appear only in the “Tributes” section of this web site. You can find all the tribute articles via a link in the sidebar on the Branches page, or you can go directly to http://peopleofpraise.org/news/tributes/."
20100917135552,http://peopleofpraise.org:80/news/?p=945,"September 3rd, 2010  |  
						
						Published in
						Mission Work  |  12 Comments",Permanent Link: Near Campus in Indy the Community’s Presence Grows,"Fifty-four people gathered for a Lord's Day meal to open the school year.
The community’s presence in the Triangle is rapidly increasing. The Triangle is a neighborhood adjacent to the joint campus of Indiana and Purdue University in Indianapolis (IUPUI). A seed planted there by three missionaries in the winter of 2007 is now a growing group of 18, including five freshmen majoring in biology, nursing and philosophy.
“Our goal is to provide a good place for students to go to college, a place where they can study hard, grow in the Lord and live in the community,” says Walt Seale, who leads the effort.
Freshman Chris Walker, a biology major on a premed track, says the urban setting, proximity to major hospitals and the chance to live in a household made IUPUI and life in the Triangle an attractive option for college. “Premed programs are very strong at IUPUI, but the biggest draw for me was common life in household, the Indianapolis branch, and the chance to go to school with a purpose: learning skills to build the kingdom of God.
Back, from left: Walt Seale, Jared Gonzalez, David Gruber, Chris Walker, George Kane, Isaac Bolduc, Meghan Couch. Middle: Emily Feeks, Irene Robinson, Andrea Delee, Laura Kane, Amy Rice, Pam Seale. Front: Jacquelyn Magill, Anne Putzier, Cathy Schwab, Patricia Brewer.
The five freshmen and Walt and Pam Seale are among 10 community members who have relocated to the Triangle in the past year, and more hope to be on the way soon. Matt and Mary Beth Harris (northern Virginia) have announced their plans to move to the Triangle with their daughter Claire, provided that Matt, a construction manager, can find a job in the area.
The growth has created a housing crunch. One household of ten women is shoehorned into a four-bedroom house with two bathrooms and two refrigerators.
Patricia Brewer, who leads the women’s household, remembers starting out in 2008. “There was always room for guests, always a place to pray, and the bathroom was pretty much always open.” This year the women share bunks and desks, and it’s rare to find an empty room.
On August 21, parents and other friends joined the students to open the Lord’s Day and kick off the year.  The group of 54 people included four men from Purdue University in West Lafayette, Indiana, who frequently make the hourlong trek to the Triangle for Lord’s Day meals and other gatherings.
A household of 10 women is shoehorned into this four bedroom house.
Community members living in the Indianapolis Triangle are members of the campus division of the South Bend branch. The community also has a campus division in Servant Branch for students at the University of Minnesota.
***
Living in the Triangle: Isaac Bolduc, Patricia Brewer, Meghan Couch, Andrea Delee, Emily Feeks, Jared Gonzalez, David Gruber, George Kane, Laura Kane, J-T Kelly, Jacquelyn Magill, Anne Putzier, Amy Rice, Irene Robinson, Walt and Pam Seale, Chris Walker.
Living at Purdue University: Brian Couch, Jr., Sean Couch, Gjon Kadeli, Abe Olson."
20100917154104,http://peopleofpraise.org:80/news/?p=1152,"September 9th, 2010  |  
						
						Published in
						Uncategorized",Permanent Link: Summer Camp Photos,"We’ve added five new photo posts to the People of Praise news website. These posts feature beautiful pictures from our summer camps sponsored by the branches in Buffalo, Kingston, South Bend, Servant Branch and Vancouver-Portland.
View all camp photos."
20100917154117,http://peopleofpraise.org:80/news/?p=659,"July 22nd, 2010  |  
						
						Published in
						Mission Work  |  20 Comments",Permanent Link: A House Moves in Indianapolis,"July 14, 2010, Indianapolis—The Indianapolis Triangle house formerly located at 1435 Montcalm Street was moved to its new location at 1450 Rembrandt Street.
A campus division women’s household lived in the house since last fall. They moved in after two years of major renovations performed largely by visiting Action teams. In late 2009, a commercial developer offered to buy the property as part of an initiative to build student housing near the IUPUI campus. After negotiations with the People of Praise, the developer agreed to cover the cost  of relocating the house about a block away, across the street from Walt and Pam Seale’s home. The women’s household is planning to move back into their home—with a new address and a new basement—before the school year begins.
Click play on the video below to watch it happen."
20100917154150,http://peopleofpraise.org:80/news/?p=882,"September 9th, 2010  |  
						
						Published in
						Branches  |  3 Comments",Permanent Link: Vancouver-Portland Camp,"Twenty-seven youths from age three to high-school sophomores shared three days of activities in and around Portland and Vancouver in mid-August. The older youths went camping and enjoyed a hike near Mt. St. Helens, while younger kids had s’mores and an easier hike. Greg and Liz Cole organized the activities. (Photo credits: Hannah Caneff, Pat Clark, Greg Cole, Beth Kabele, Tom Melton, Glenn Rymza, Hilary Shreves.)

Nathan and Nora at the camp’s Western-themed opening night.
A piggyback race, featuring (from left) Nora, Peter, Jayro Gordon, Carlos, Eli, and Jose Martin Martinez. 
Sarah and Sophia.
Ava enjoys her ride in a red wagon.
Nora holds on to her tricycle during a tricycle race.
Nathan, following s'mores.
A hike through Lava Canyon near Mt. St. Helens. From left, Naomi, Jake, Peter, Jenny Ridenour, Stephen, Jeannie Dang, Andrew Ridenour, Tom Melton (Corvallis).
From left: Peter, Jenny Ridenour, Naomi, Andrew Ridenour, Stephen, Jake, Tom Melton (Corvallis), Jeannie Dang.
Mount St. Helens.
From left, back row: Glenn Rymsza, Jo Clark, Hannah Caneff and Eric Shreves Front: Eli, Lia, Addie, Ava, Katie, Michael, Maddie, Hannah, Luke and Sara.
Hannah, Ava and Michael catch salamanders.
Fred Dang and Liz Cole prepare food.
Hannah Caneff (pink shirt) leads camp songs.
Andrew Ridenour wrestles with the kids.
Jo Clark (white shirt, in back) directs all the campers in a skit about the Good Samaritan.
From left: Chris, James, Nathan, Jonas and Isaac."
20100919001148,http://peopleofpraise.org:80/news/?p=1003,"September 9th, 2010  |  
						
						Published in
						Branches  |  6 Comments",Permanent Link: Buffalo Camp,"One hundred and forty campers and about 50 staff members came to Camp Li-Lo-Li near Randolph, New York, for this year’s Buffalo Camp. Camp director Tom Shriver says most of the branch’s 60 members helped put on the camp in one way or another, from offering intercessory prayer to fundraising to providing hospitality to campers from 12 other branches. (Photo credits: Cathy McAleer, Jennifer Ortiz.)
Lydia pushes a wheelbarrow holding Margaret and Alexa.
The sixth-grade girls at the archery range.
Buffalo camp features a FAR (Formation, Action, Recreation) program for ninth- and tenth-graders. Here FAR participants paint a shed. From left, Meaghan, Molly, Chris and Ben.
From left, Josh, John, Sam, Peter, Robbie, Jacob.
Jared Gonzalez plays Elvis and David Mazanowski plays the Karate Kid. The two served as judges for a musical review.
Catherine and Melinda canoeing.
Shyla Davis (New Orleans) and Stephanie Justen (northern Virgnia).
David Roth (Indianapolis) led the FAR program for ninth- and tenth graders.
Buffalo Camp was held at Camp Li-Lo-Li (Life-Love-Light) near Randolph, New York.
Sam (left) and Jack. 
In this team-building exercise, FAR campers canoed blindfolded and without paddles. They had to navigate the lake with their hands while listening to the voices of their teammates on land.
Fifth-grade boys raise the flag under the leadership of John Milano (left, Vancouver/Portland).
Fifth-grade girls Elizabeth, Sonia, Sophia, Sophia, Kyra  Isabelle, Katie, Ellie, Lauren and Bridgid with their junior counselors Christina and Andre (back row).
Campers and counselors gather for an evening campfire.
From left, John, Josh, Chris, Drew, Jack, and Joseph at the climbing wall.
Katie (left) and Emma swimming.
Ninth- and tenth-grade campers perform a skit.
Clockwise from left, Alexa, Grace, Bridget, Emily, Margaret, Jessica, Elizabeth and Lilly.
Fifth-grade girls Isabelle, Kyra and Lauren bury Sophia in the sand.
Joseph lets loose his arrow."
20100919001153,http://peopleofpraise.org:80/news/?p=402,"April 29th, 2010  |  
						
						Published in
						Trinity School",Permanent Link: Arnold and Mary del Pilar on Trinity: Community,"“Itâ€™s not only a way to live, but a way to structure everything about yourself and your children around a community that really, really cares.”
Arnold del Pilar is the leading physician at del Pilar Medical and Urgent Care Center in Mishawaka, IN; his wife Mary assists him there. Two of their children currently attend Greenlawn: Alexandra (12th grade) and Arnie (10th grade)."
